robot,lin_vel_max,ang_vel_max,ideal_distance,ideal_distance_tolerance,num_collisions,avg_velocity,avg_distance_wall,correct_percentage_distance_wall,time_taken
robot2,1.8,2.0943951023931953,1.8,0.5,0,1.92,2.01,72.50,34.70
robot1,1.8,3.141592653589793,1.5,0.2,0,1.14,1.75,24.95,58.32
robot2,1.8,3.141592653589793,1.5,0.2,0,1.45,1.73,23.33,44.07
robot1,1.8,3.141592653589793,1.5,0.3,0,1.25,1.72,41.60,56.62
robot2,1.8,3.141592653589793,1.5,0.3,0,1.51,1.78,36.99,43.04
robot1,1.8,3.141592653589793,1.5,0.4,0,1.33,1.69,55.21,50.92
robot2,1.8,3.141592653589793,1.5,0.4,0,1.72,1.71,60.99,37.98
robot1,1.8,3.141592653589793,1.5,0.5,0,1.48,1.67,77.50,45.57
robot2,1.8,3.141592653589793,1.5,0.5,0,1.82,1.71,90.72,35.18
robot1,1.8,3.141592653589793,1.6,0.2,0,1.11,1.84,21.67,60.78
robot2,1.8,3.141592653589793,1.6,0.2,0,1.43,1.87,24.72,45.88
robot1,1.8,3.141592653589793,1.6,0.3,0,1.25,1.81,40.71,53.67
robot2,1.8,3.141592653589793,1.6,0.3,0,1.61,1.83,45.64,40.13
robot1,1.8,3.141592653589793,1.6,0.4,0,1.34,1.82,55.61,50.21
robot2,1.8,3.141592653589793,1.6,0.4,0,1.75,1.78,73.73,36.67
robot1,1.8,3.141592653589793,1.6,0.5,0,1.48,1.77,77.17,46.08
robot2,1.8,3.141592653589793,1.6,0.5,0,1.83,1.74,81.08,35.73
robot1,1.8,3.141592653589793,1.7,0.2,0,1.11,1.94,22.10,61.16
robot2,1.8,3.141592653589793,1.7,0.2,0,1.42,1.94,20.43,46.53
robot1,1.8,3.141592653589793,1.7,0.3,0,1.19,1.91,34.38,59.95
robot2,1.8,3.141592653589793,1.7,0.3,0,1.46,1.94,35.17,45.81
robot1,1.8,3.141592653589793,1.7,0.4,0,1.40,1.88,63.90,47.22
robot2,1.8,3.141592653589793,1.7,0.4,0,2.18,1.84,62.03,34.07
