robot,kd,kp,avg_distance_wall,correct_percentage_distance_wall,time_taken
robot1,3.4699999999999998,3.4699999999999998,2.05,86.04,70.55
robot2,3.4699999999999998,3.4699999999999998,2.44,58.99,32.09
robot1,3.4699999999999998,3.695,N/A,N/A,N/A
robot2,3.4699999999999998,3.695,2.23,80.65,20.30
robot1,3.4699999999999998,3.92,1.74,92.79,60.23
robot2,3.4699999999999998,3.92,2.38,74.07,35.17
robot1,3.695,2.12,2.09,76.83,44.31
robot2,3.695,2.12,2.42,55.21,34.50
robot1,3.695,2.345,2.23,73.21,44.79
robot2,3.695,2.345,2.33,62.78,38.90
robot1,3.695,2.5700000000000003,1.94,82.16,43.38
robot2,3.695,2.5700000000000003,2.15,65.89,34.25
robot1,3.695,2.795,2.09,81.34,45.16
robot2,3.695,2.795,2.28,62.04,42.77
robot1,3.695,3.02,1.89,87.03,43.05
robot2,3.695,3.02,2.38,67.07,44.06
robot1,3.695,3.245,1.96,88.12,59.09
robot2,3.695,3.245,2.35,69.57,34.64
robot1,3.695,3.4699999999999998,1.92,88.81,55.88
robot2,3.695,3.4699999999999998,2.35,64.88,32.46
robot1,3.695,3.695,1.90,89.25,63.76
robot2,3.695,3.695,2.29,63.92,34.76
robot1,3.695,3.92,1.83,89.40,44.25
robot2,3.695,3.92,2.43,67.81,34.72
robot1,3.92,2.12,2.27,65.69,45.72
robot2,3.92,2.12,2.35,58.02,39.08
robot1,3.92,2.345,2.13,70.89,44.70
robot2,3.92,2.345,2.36,60.19,38.56
robot1,3.92,2.5700000000000003,N/A,N/A,N/A
robot2,3.92,2.5700000000000003,N/A,N/A,N/A
robot1,3.92,2.795,2.19,77.72,59.32
robot2,3.92,2.795,2.28,62.50,37.11
robot1,3.92,3.02,2.26,73.52,59.90
robot2,3.92,3.02,2.11,69.63,48.51
robot1,3.92,3.245,2.01,86.37,72.41
robot2,3.92,3.245,2.23,61.65,49.10
robot1,3.92,3.4699999999999998,2.02,85.67,43.74
robot2,3.92,3.4699999999999998,2.45,65.04,44.96
robot1,3.92,3.695,1.84,88.13,81.51
robot2,3.92,3.695,2.42,62.21,54.22
robot1,3.92,3.92,1.79,92.42,46.76
robot2,3.92,3.92,2.16,77.27,41.34
