robot,kd,kp,avg_distance_wall,correct_percentage_distance_wall,time_taken
robot1,1.45,0.5499999999999999,2.07,69.88,39.59
robot2,1.45,0.5499999999999999,2.43,45.75,31.45
robot1,1.45,0.7749999999999999,2.04,77.81,40.36
robot2,1.45,0.7749999999999999,2.39,63.05,30.93
robot1,1.45,1.0,1.74,90.38,41.65
robot2,1.45,1.0,2.19,69.23,32.76
robot1,1.45,1.225,1.89,89.08,42.88
robot2,1.45,1.225,2.03,71.43,33.2
robot1,1.45,1.45,1.67,91.48,41.38
robot2,1.45,1.45,2.11,82.47,62.26
robot1,1.45,1.6749999999999998,1.72,93.73,40.37
robot2,1.45,1.6749999999999998,2.28,75.0,31.28
robot1,1.45,1.9,1.62,95.79,43.45
robot2,1.45,1.9,1.76,90.0,38.19
robot1,1.6749999999999998,0.1,,,
robot2,1.6749999999999998,0.1,3.77,13.9,37.2
robot1,1.6749999999999998,0.3249999999999999,2.47,46.9,45.42
robot2,1.6749999999999998,0.3249999999999999,2.93,29.6,33.77
robot1,1.6749999999999998,0.5499999999999999,2.29,62.69,41.85
robot2,1.6749999999999998,0.5499999999999999,2.72,40.0,34.55
robot1,1.6749999999999998,0.7749999999999999,1.96,76.28,40.98
robot2,1.6749999999999998,0.7749999999999999,2.49,52.78,31.01
robot1,1.6749999999999998,1.0,1.81,88.53,39.68
robot2,1.6749999999999998,1.0,2.16,67.8,31.74
robot1,1.6749999999999998,1.225,1.75,90.49,42.25
robot2,1.6749999999999998,1.225,2.15,76.52,33.17
robot1,1.6749999999999998,1.45,1.68,93.47,42.74
robot2,1.6749999999999998,1.45,1.89,77.59,33.36
robot1,1.6749999999999998,1.6749999999999998,1.78,92.73,43.34
robot2,1.6749999999999998,1.6749999999999998,1.84,83.9,33.72
robot1,1.6749999999999998,1.9,1.62,96.98,43.16
robot2,1.6749999999999998,1.9,1.93,85.47,35.92
robot1,1.9,0.1,,,
robot2,1.9,0.1,,,
robot1,1.9,0.3249999999999999,2.47,41.98,42.29
robot2,1.9,0.3249999999999999,3.18,20.91,32.06
robot1,1.9,0.5499999999999999,2.14,63.95,40.39
robot2,1.9,0.5499999999999999,,,
robot1,1.9,0.7749999999999999,2.34,63.39,43.42
robot2,1.9,0.7749999999999999,2.42,55.65,33.63
robot1,1.9,1.0,2.24,70.66,43.56
robot2,1.9,1.0,2.51,65.22,33.97
robot1,1.9,1.225,2.0,80.81,41.43
robot2,1.9,1.225,2.28,65.17,31.5
robot1,1.9,1.45,1.91,86.94,42.16
robot2,1.9,1.45,2.28,62.55,50.02
robot1,1.9,1.6749999999999998,1.7,94.4,41.32
robot2,1.9,1.6749999999999998,2.07,77.13,40.41
robot1,1.9,1.9,,,
robot2,1.9,1.9,1.95,91.67,15.0
robot1,2.12,0.1,,,
robot2,2.12,0.1,,,
robot1,2.12,0.3249999999999999,2.59,43.47,44.47
robot2,2.12,0.3249999999999999,3.42,28.12,36.47
robot1,2.12,0.5499999999999999,2.45,51.37,43.63
robot2,2.12,0.5499999999999999,2.63,38.71,32.65
robot1,2.12,0.7749999999999999,2.08,68.44,43.45
robot2,2.12,0.7749999999999999,2.33,57.14,33.81
robot1,2.12,1.0,2.02,72.75,41.23
robot2,2.12,1.0,2.4,51.1,31.57
robot1,2.12,1.225,2.02,77.29,43.31
robot2,2.12,1.225,2.14,61.86,33.94
robot1,2.12,1.45,2.03,82.85,42.08
robot2,2.12,1.45,2.15,68.28,36.25
robot1,2.12,1.6749999999999998,,,
robot2,2.12,1.6749999999999998,2.35,68.97,18.54
robot1,2.12,1.9,1.7,91.76,44.03
robot2,2.12,1.9,1.83,81.82,34.94
robot1,2.345,0.1,,,
robot2,2.345,0.1,3.49,10.89,83.57
robot1,2.345,0.3249999999999999,2.87,42.94,48.29
robot2,2.345,0.3249999999999999,3.11,21.9,36.96
