robot,kd,kp,avg_distance_wall,correct_percentage_distance_wall,time_taken
robot2,3.4699999999999998,0.5499999999999999,3.03,31.70,33.37
robot1,3.4699999999999998,0.7749999999999999,2.61,43.58,42.17
robot2,3.4699999999999998,0.7749999999999999,2.69,52.38,32.77
robot1,3.4699999999999998,0.9999999999999999,2.32,59.50,44.06
robot2,3.4699999999999998,0.9999999999999999,2.09,58.04,33.93
robot1,3.4699999999999998,1.225,2.42,62.08,44.38
robot2,3.4699999999999998,1.225,2.56,49.12,33.81
robot1,3.4699999999999998,1.45,2.11,75.00,40.70
robot2,3.4699999999999998,1.45,2.56,47.83,31.85
robot1,3.4699999999999998,1.6749999999999998,2.19,69.21,44.75
robot2,3.4699999999999998,1.6749999999999998,2.32,57.14,35.44
robot1,3.4699999999999998,1.9,2.28,73.18,46.34
robot2,3.4699999999999998,1.9,2.47,52.66,34.58
robot1,3.695,0.1,N/A,N/A,N/A
robot2,3.695,0.1,3.59,20.00,39.02
robot1,3.695,0.32499999999999996,2.70,42.69,42.42
robot2,3.695,0.32499999999999996,3.33,15.21,33.65
robot1,3.695,0.5499999999999999,2.87,37.13,43.95
robot2,3.695,0.5499999999999999,3.11,14.93,32.20
robot1,3.695,0.7749999999999999,2.68,44.21,43.56
robot2,3.695,0.7749999999999999,3.00,25.41,31.52
robot1,3.695,0.9999999999999999,2.22,57.74,41.12
robot2,3.695,0.9999999999999999,2.38,48.20,31.71
robot1,3.695,1.225,2.12,67.48,40.79
robot2,3.695,1.225,2.54,42.08,30.93
robot1,3.695,1.45,2.10,66.87,41.63
robot2,3.695,1.45,N/A,N/A,N/A
robot1,3.695,1.6749999999999998,2.18,66.86,42.15
robot2,3.695,1.6749999999999998,2.37,59.17,37.96
robot1,3.695,1.9,2.40,67.34,42.56
robot2,3.695,1.9,2.48,56.32,32.88
robot1,3.92,0.1,N/A,N/A,N/A
robot2,3.92,0.1,N/A,N/A,N/A
robot1,3.92,0.32499999999999996,N/A,N/A,N/A
robot2,3.92,0.32499999999999996,2.63,21.71,36.03
robot1,3.92,0.5499999999999999,2.84,39.39,45.19
robot2,3.92,0.5499999999999999,3.02,27.27,34.30
robot1,3.92,0.7749999999999999,2.46,45.82,40.96
robot2,3.92,0.7749999999999999,2.57,44.06,32.81
robot1,3.92,0.9999999999999999,2.30,57.53,41.44
robot2,3.92,0.9999999999999999,2.85,32.16,33.11
robot1,3.92,1.225,2.38,58.70,40.86
robot2,3.92,1.225,2.76,36.02,34.60
robot1,3.92,1.45,2.46,62.83,44.69
robot2,3.92,1.45,2.52,34.86,34.36
robot1,3.92,1.6749999999999998,2.26,65.14,41.35
robot2,3.92,1.6749999999999998,2.54,45.18,31.94
robot1,3.92,1.9,N/A,N/A,N/A
robot2,3.92,1.9,N/A,N/A,N/A
