robot,kd,kp,avg_distance_wall,correct_percentage_distance_wall,time_taken
robot2,1.45,2.345,2.24,76.19,34.63
robot1,1.45,2.5700000000000003,N/A,N/A,N/A
robot2,1.45,2.5700000000000003,2.67,56.90,15.00
robot1,1.45,2.795,N/A,N/A,N/A
robot2,1.45,2.795,1.82,73.08,15.00
robot1,1.45,3.02,1.57,94.79,45.54
robot2,1.45,3.02,1.98,84.48,35.89
robot1,1.45,3.245,1.57,95.60,46.20
robot2,1.45,3.245,2.05,79.82,36.56
robot1,1.45,3.4699999999999998,1.56,94.34,45.79
robot2,1.45,3.4699999999999998,1.91,83.33,35.99
robot1,1.45,3.695,1.56,94.83,43.85
robot2,1.45,3.695,1.63,89.42,33.97
robot1,1.45,3.92,N/A,N/A,N/A
robot2,1.45,3.92,2.46,64.29,16.01
robot1,1.6749999999999998,2.12,N/A,N/A,N/A
robot2,1.6749999999999998,2.12,3.41,49.21,15.94
robot1,1.6749999999999998,2.345,1.68,92.05,43.03
robot2,1.6749999999999998,2.345,1.98,83.48,33.15
robot1,1.6749999999999998,2.5700000000000003,N/A,N/A,N/A
robot2,1.6749999999999998,2.5700000000000003,2.93,54.39,15.00
robot1,1.6749999999999998,2.795,1.58,97.04,42.37
robot2,1.6749999999999998,2.795,1.93,83.83,32.48
robot1,1.6749999999999998,3.02,1.58,96.32,45.20
robot2,1.6749999999999998,3.02,1.94,84.13,35.49
robot1,1.6749999999999998,3.245,1.56,95.48,43.34
robot2,1.6749999999999998,3.245,1.66,91.01,33.33
robot1,1.6749999999999998,3.4699999999999998,1.58,94.83,45.72
robot2,1.6749999999999998,3.4699999999999998,1.98,85.94,35.95
robot1,1.6749999999999998,3.695,1.58,95.62,44.36
robot2,1.6749999999999998,3.695,1.89,85.76,46.86
robot1,1.6749999999999998,3.92,1.57,95.40,44.18
robot2,1.6749999999999998,3.92,1.72,85.07,34.31
robot1,1.9,2.12,1.68,93.22,44.59
robot2,1.9,2.12,2.30,72.11,70.67
robot1,1.9,2.345,1.75,91.51,42.43
robot2,1.9,2.345,1.85,91.34,34.60
robot1,1.9,2.5700000000000003,N/A,N/A,N/A
robot2,1.9,2.5700000000000003,2.90,50.00,17.10
robot1,1.9,2.795,1.60,96.40,44.48
robot2,1.9,2.795,1.79,87.64,39.45
robot1,1.9,3.02,1.59,96.72,40.67
robot2,1.9,3.02,3.20,52.24,16.23
robot1,1.9,3.245,1.58,96.19,42.72
robot2,1.9,3.245,1.69,90.34,33.17
robot1,1.9,3.4699999999999998,1.60,90.98,46.31
robot2,1.9,3.4699999999999998,1.63,87.88,36.64
robot1,1.9,3.695,1.57,95.87,43.59
robot2,1.9,3.695,1.66,90.72,33.72
robot1,1.9,3.92,N/A,N/A,N/A
robot2,1.9,3.92,2.94,55.22,15.36
